arm,stage,completed_updates,partition,joint_cosine,native_alignment_u8,native_alignment_real,margin_change_u8,margin_change_real,fraction_negative_joint_cosine,fraction_positive_u8_margin,fraction_u8_jointly_useful,valid_query_count,undefined_query_count
baseline,late,3850,shuffle_seed_42,-0.13505173282987926,0.3308552102647013,0.40816127172547567,0.17155015619482583,1.201696627191268,0.64453125,0.626953125,0.626953125,1024,0
baseline,late,3850,shuffle_seed_123,-0.13955057234227297,0.3271127523706241,0.4067375296854152,0.16251200342867378,1.2010712269111536,0.6455078125,0.6064453125,0.6064453125,1024,0
baseline,late,3850,shuffle_seed_4242,-0.14320296252219578,0.32123985397204136,0.4093526098149596,0.15809242969362458,1.1999667849740945,0.66015625,0.6142578125,0.6142578125,1024,0
hardest_real,pretrained,0,sequential,-0.2951718700291508,0.12250261540668816,0.2968907540849841,-0.10843091777860536,1.1187952558975667,0.7998046875,0.412109375,0.412109375,1024,0
hardest_real,pretrained,0,shuffle_seed_42,-0.29516223108745976,0.13781126329695326,0.30669229091040506,-0.09815600860974882,1.1249823377584107,0.7890625,0.41015625,0.41015625,1024,0
hardest_real,pretrained,0,shuffle_seed_123,-0.30566534955744373,0.1242023669066441,0.30555238429360543,-0.11925403515624566,1.1225629640975967,0.8115234375,0.3857421875,0.3857421875,1024,0
hardest_real,pretrained,0,shuffle_seed_4242,-0.27967422081928817,0.14585315822615996,0.2961971473705489,-0.08060997912934909,1.1237775658955798,0.798828125,0.431640625,0.431640625,1024,0
hardest_real,before_auxiliary,1001,sequential,-0.12291056426404623,0.31232563052886064,0.34384176843468595,0.176776050366243,1.1701774512184784,0.626953125,0.666015625,0.666015625,1024,0
hardest_real,before_auxiliary,1001,shuffle_seed_42,-0.1209392737437156,0.3285040764715177,0.3614762153611082,0.188045843204236,1.1823087533120997,0.625,0.6533203125,0.6533203125,1024,0
hardest_real,before_auxiliary,1001,shuffle_seed_123,-0.12629793309568704,0.32264887236266304,0.36081486725697687,0.17684145086059289,1.1803657449199818,0.6396484375,0.6513671875,0.6513671875,1024,0
hardest_real,before_auxiliary,1001,shuffle_seed_4242,-0.1386889921986949,0.3134008804624955,0.3652513243177964,0.16260852746881937,1.1809908318100497,0.6484375,0.634765625,0.634765625,1024,0
hardest_real,after_ramp,2001,sequential,-0.11483093976346481,0.32966939332487755,0.356835013206819,0.19564272815705408,1.1760401129140519,0.619140625,0.6650390625,0.6650390625,1024,0
hardest_real,after_ramp,2001,shuffle_seed_42,-0.11974470886006827,0.343434194829797,0.37828568536860985,0.19889854781467875,1.189830741728656,0.6318359375,0.658203125,0.658203125,1024,0
hardest_real,after_ramp,2001,shuffle_seed_123,-0.12393385673796331,0.3384003417986037,0.37880544213766143,0.18914247946122487,1.1903240063111298,0.6201171875,0.6337890625,0.6337890625,1024,0
hardest_real,after_ramp,2001,shuffle_seed_4242,-0.13129258927514798,0.33203636329096753,0.3816412690348443,0.1811675073340666,1.1888472263235599,0.642578125,0.6416015625,0.6416015625,1024,0
hardest_real,late,3850,sequential,-0.11901235650867292,0.3310030421169472,0.36996005488163064,0.19191918880551384,1.1841453609522432,0.6240234375,0.6650390625,0.6650390625,1024,0
hardest_real,late,3850,shuffle_seed_42,-0.12268298451999726,0.3435051747553928,0.3925964752265827,0.19414772856725904,1.1979399879346602,0.6337890625,0.6513671875,0.6513671875,1024,0
hardest_real,late,3850,shuffle_seed_123,-0.12613775572235397,0.3398068383658597,0.39072122199354453,0.18618342784429842,1.1967689894954674,0.6337890625,0.62890625,0.62890625,1024,0
hardest_real,late,3850,shuffle_seed_4242,-0.13050270310276346,0.33430796177185584,0.393387201565929,0.1815320806190357,1.1958017277065665,0.6435546875,0.638671875,0.638671875,1024,0
uniform_top8,pretrained,0,sequential,-0.2951718700291508,0.12250261540668816,0.2968907540849841,-0.10843091777860536,1.1187952558975667,0.7998046875,0.412109375,0.412109375,1024,0
uniform_top8,pretrained,0,shuffle_seed_42,-0.29516223108745976,0.13781126329695326,0.30669229091040506,-0.09815600860974882,1.1249823377584107,0.7890625,0.41015625,0.41015625,1024,0
uniform_top8,pretrained,0,shuffle_seed_123,-0.30566534955744373,0.1242023669066441,0.30555238429360543,-0.11925403515624566,1.1225629640975967,0.8115234375,0.3857421875,0.3857421875,1024,0
uniform_top8,pretrained,0,shuffle_seed_4242,-0.27967422081928817,0.14585315822615996,0.2961971473705489,-0.08060997912934909,1.1237775658955798,0.798828125,0.431640625,0.431640625,1024,0
uniform_top8,before_auxiliary,1001,sequential,-0.12291056426404623,0.31232563052886064,0.34384176843468595,0.176776050366243,1.1701774512184784,0.626953125,0.666015625,0.666015625,1024,0
uniform_top8,before_auxiliary,1001,shuffle_seed_42,-0.1209392737437156,0.3285040764715177,0.3614762153611082,0.188045843204236,1.1823087533120997,0.625,0.6533203125,0.6533203125,1024,0
uniform_top8,before_auxiliary,1001,shuffle_seed_123,-0.12629793309568704,0.32264887236266304,0.36081486725697687,0.17684145086059289,1.1803657449199818,0.6396484375,0.6513671875,0.6513671875,1024,0
uniform_top8,before_auxiliary,1001,shuffle_seed_4242,-0.1386889921986949,0.3134008804624955,0.3652513243177964,0.16260852746881937,1.1809908318100497,0.6484375,0.634765625,0.634765625,1024,0
uniform_top8,after_ramp,2001,sequential,-0.1351398182093817,0.32727000469753875,0.364866557323694,0.1762062736761436,1.1787374355481006,0.634765625,0.64453125,0.64453125,1024,0
uniform_top8,after_ramp,2001,shuffle_seed_42,-0.13878841539167297,0.339701799839645,0.38718159741802083,0.17871342327089224,1.1924275804194622,0.6376953125,0.62890625,0.62890625,1024,0
uniform_top8,after_ramp,2001,shuffle_seed_123,-0.14176274992945537,0.33637400444581544,0.3862501140738459,0.1716365026998119,1.1916477234335616,0.6328125,0.6220703125,0.6220703125,1024,0
uniform_top8,after_ramp,2001,shuffle_seed_4242,-0.15148717923682398,0.32809402447716707,0.38914305382331804,0.1598720575848347,1.191340995603241,0.65234375,0.6162109375,0.6162109375,1024,0
uniform_top8,late,3850,sequential,-0.14708163788773732,0.3237884314464736,0.3836239023712551,0.16102525341648288,1.1863589964341372,0.6513671875,0.623046875,0.623046875,1024,0
uniform_top8,late,3850,shuffle_seed_42,-0.15045255154223014,0.3341403013009483,0.4080147504428169,0.16131876616418594,1.2006818324443884,0.646484375,0.599609375,0.599609375,1024,0
uniform_top8,late,3850,shuffle_seed_123,-0.1534927812339788,0.3309183365880026,0.4053276788176845,0.15404442182898492,1.1986728248884901,0.6552734375,0.5927734375,0.5927734375,1024,0
uniform_top8,late,3850,shuffle_seed_4242,-0.1611692624005343,0.3240392346058343,0.4079568527165378,0.14483251824219678,1.1976988593232818,0.6572265625,0.595703125,0.595703125,1024,0
